name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-03-13T07:00:00,27.7,31.4,24,80.22,0,0,,0,0,2.9,0,346.9,1008.1,50,9.1,9,0,0,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-13T08:00:00,30,34.1,23,66.18,0,0,,0,0,4.3,1.8,25.3,1009,50,10,225,0.8,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-13T09:00:00,32,35.8,22,55.56,0,0,,0,0,7.2,3.6,18.9,1009,0,10,372,1.3,4,3,Clear,clear-day,"48900099999,VVTS"
ho chi minh,2022-03-13T10:00:00,32.8,36.1,21.2,50.65,0,0,,0,0,8.6,11.1,124,1009.1,28.2,10.9,491,1.8,5,3,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-13T11:00:00,35,37.7,20,41.54,0,0,,0,0,14.4,14.8,120,1009,50,10,588,2.1,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-13T12:00:00,34,36.5,20,43.91,0,0,,0,0,16.6,13,120,1008,88.8,10,667,2.4,7,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-03-13T13:00:00,34.7,37.6,20.3,43.01,0,0,,0,0,18,11.1,164,1007,88,10.9,721,2.6,7,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-13T14:00:00,35,38.5,21,44.18,0.1,100,rain,0,0,17.3,11.2,150,1006,50,10,765,2.8,8,10,"Rain, Partially cloudy",rain,"48900099999,VVTS"
ho chi minh,2022-03-13T15:00:00,34,37.3,21,46.7,0.2,100,rain,0,0,19.4,16.6,170,1005,50,10,451,1.6,5,10,"Rain, Partially cloudy",rain,"48900099999,VVTS"
ho chi minh,2022-03-13T16:00:00,32.9,36.1,21.2,50.28,0,0,,0,0,21.6,17.7,170,1005.1,50,10.9,322,1.2,3,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-03-13T17:00:00,32,34.9,21,52.26,0,0,,0,0,23.4,18.4,140,1006,50,10,290,1,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
