name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2021-12-20T00:00:00,24,24,18,69.16,0,0,,0,0,,5.4,351.4,1012,88.8,10,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2021-12-20T01:00:00,24.1,24.1,18.1,69.02,0,0,,0,0,,7.5,338,1012,88,10.9,0,,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2021-12-20T02:00:00,24,24,19,73.63,0,0,,0,0,,7.6,320,1011,88.8,10,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2021-12-20T03:00:00,24,24,19,73.63,0,0,,0,0,,7.6,310,1011,88.8,10,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2021-12-20T04:00:00,23.1,23.1,19.1,78.22,0,0,,0,0,,7.2,315,1011,88.9,10.9,0,,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2021-12-20T05:00:00,23,23,20,83.22,0,0,,0,0,,7.6,320,1011,50,10,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2021-12-20T06:00:00,23,23,20,83.22,0,0,,0,0,,9.4,330,1012,50,10,40.4,0.1,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2021-12-20T07:00:00,23.1,23.1,20,82.66,0,0,,0,0,,10.8,320,1013,88,10.9,224.8,0.8,2,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2021-12-20T08:00:00,24,24,19,73.63,0,0,,0,0,,14.8,350,1014,50,10,433.1,1.6,4,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2021-12-20T09:00:00,26,26,19,65.35,0,0,,0,0,,13,340,1014,50,10,612.3,2.2,6,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2021-12-20T10:00:00,27.9,29.2,19.1,58.77,0,0,,0,0,,11.5,356,1014,53.8,10.9,704.3,2.5,7,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2021-12-20T11:00:00,28,29.6,20,61.84,0,0,,0,0,,9.4,10,1013,50,10,780.3,2.8,8,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
