name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2020-01-01T00:00:00,26,26,19.4,67.03,0,0,,0,0,,7.6,50,,27,10,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2020-01-01T01:00:00,25.9,25.9,20.8,73.53,0,0,,0,0,,9.4,14,1014.9,25.4,10.2,0,,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-01T02:00:00,25,25,19.6,71.96,0,0,,0,0,,10.1,24,,27,8,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2020-01-01T03:00:00,24.6,24.6,18.6,69.28,0,0,,0,0,,9.4,16,,27,8,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2020-01-01T04:00:00,23.6,23.6,18.1,71.34,0,0,,0,0,,12.2,24,1014.5,32.8,9.1,0,,0,,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-01T05:00:00,22.6,22.6,18,75.29,0,0,,0,0,,5.4,30,,35.2,8,0,,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2020-01-01T06:00:00,22,22,18.4,80.08,0,0,,0,0,,6.7,56,,27,8.8,49.6,0.2,0,,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2020-01-01T07:00:00,23.9,23.9,19.9,78.26,0,0,,0,0,,8.5,63,1016.3,27.3,10.9,264.3,1,3,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-01T08:00:00,27.4,28.6,19,60.16,0,0,,0,0,,13.7,50,,27,10,493.4,1.8,5,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2020-01-01T09:00:00,29.4,30.5,18.6,52.21,0,0,,0,0,,18.4,44,,27,10,685.5,2.5,7,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2020-01-01T10:00:00,31.2,32.1,18.1,45.68,0,0,,0,0,,11.8,43,1016.8,27.3,10.9,820,3,8,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2020-01-01T11:00:00,33.4,33.5,16.2,35.72,0,0,,0,0,,12.2,42,,14.8,10,888,3.2,9,,Clear,clear-day,"48900099999,VVTS"
ho chi minh,2020-01-01T12:00:00,34,33.1,13.6,29.24,0,0,,0,0,,17.6,58,,27,10,881.3,3.2,9,,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2020-01-01T13:00:00,34.5,33.9,14.2,29.68,0,0,,0,0,,17,53,1013.7,27.3,10.9,795.8,2.9,8,,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
