name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-07-13T00:00:00,25,25,25,100,0,0,rain,0,0,42.5,14.8,260,1006,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-07-13T01:00:00,25,25,24,94.19,0,0,,0,0,38.9,16.8,260,1005.1,89.9,9.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-07-13T02:00:00,25,25,24,94.19,0,0,rain,0,0,37.8,14.8,250,1004,88.8,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-07-13T03:00:00,25,25,24,94.19,0,0,,0,0,36,13,240,1004,88.8,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-07-13T04:00:00,25,25,24,94.45,0,0,rain,0,0,35.6,13.7,239,1004,89.9,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-07-13T05:00:00,25,25,25,100,0,0,rain,0,0,37.4,13,260,1004,88.8,9,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-07-13T06:00:00,25,25,24,94.19,0,0,,0,0,43.6,18.4,230,1004,88.8,7,1,0,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-07-13T07:00:00,25,25,24,94.08,2,100,rain,0,0,43.2,14.1,248,1005,88.9,9.1,19,0.1,0,10,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-07-13T08:00:00,26,26,25,94.23,0,0,,0,0,37.1,14.8,250,1005,50,10,125,0.5,1,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-07-13T09:00:00,27,31.2,26,94.27,0,0,,0,0,29.9,18.4,260,1006,50,10,205,0.7,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-07-13T10:00:00,28,33.4,25.8,87.84,0,0,rain,0,0,32,19.6,261,1006,88.9,10.9,232,0.8,2,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-07-13T11:00:00,28,33.5,26,88.91,0,0,rain,0,0,37.8,24.1,270,1005,88.8,10,204,0.7,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-07-13T12:00:00,29,35.6,26,83.9,0,0,,0,0,43.2,24.1,280,1005,88.8,10,357,1.3,4,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-07-13T13:00:00,30,37.1,25.7,77.98,0,0,rain,0,0,40,21.6,284,1004.1,52.8,10.9,175,0.6,2,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-07-13T14:00:00,31,39.1,26,74.79,0,0,rain,0,0,48.2,27.7,280,1002,50,10,498,1.8,5,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
