name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-04-22T00:00:00,28,31.9,24,78.92,0,0,,0,0,27.7,11.2,140,1010,27,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T01:00:00,27.9,31.2,23.1,75.39,0,0,,0,0,25.6,11.8,150,1009.1,27.3,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T02:00:00,28,31.2,23,74.3,0,0,,0,0,27,9.4,130,1009,27,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T03:00:00,28,31.2,23,74.3,0,0,,0,0,21.2,13,150,1008,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T04:00:00,27.9,31.1,23.1,75.05,0,0,,0,0,18,19.6,140,1009,45.3,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T05:00:00,27,29.6,23,78.78,0,0,,0,0,17.3,11.2,130,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T06:00:00,27,29.6,23,78.78,0,0,,0,0,15.8,9.4,110,1009,27,10,4,0,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T07:00:00,28.9,32.7,23.1,70.97,0,0,,0,0,16.2,11.1,84,1010.1,2,10.9,138,0.5,1,10,Clear,clear-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T08:00:00,30,34.1,23,66.18,0,0,,0,0,15.5,11.2,80,1011,0,10,382,1.4,4,10,Clear,clear-day,"48900099999,VVTS"
ho chi minh,2022-04-22T09:00:00,31,33.7,21,55.32,0,0,,0,0,13.7,18.4,110,1011,0,10,616,2.2,6,10,Clear,clear-day,"48900099999,VVTS"
ho chi minh,2022-04-22T10:00:00,32.9,35.4,20.3,47.51,0,0,,0,0,11.9,19.9,117,1011.1,28.3,10.9,809,2.9,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T11:00:00,34,37.3,21,46.7,0,0,,0,0,10.8,13,100,1011,50,10,945,3.4,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T12:00:00,34,36.5,20,43.91,0,0,,0,0,10.8,9.4,74.3,1010,50,10,1010,3.6,10,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T13:00:00,34.9,37.7,20.2,42.48,0,0,,0,0,180,24.8,47,1009,86.1,10.9,1001,3.6,10,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T14:00:00,34,37.3,21,46.7,0,0,,0,0,11.5,9.4,180,1008,88.8,10,916,3.3,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T15:00:00,34,38.3,22,49.65,0,0,,0,0,11.9,16.6,190,1007,88.8,10,757,2.7,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T16:00:00,32.9,36.2,21.2,50.15,0,0,,0,0,11.2,19.3,172,1007,46.3,10.9,366,1.3,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T17:00:00,32,35.8,22,55.56,0,0,,0,0,16.9,16.6,160,1007,27,10,100,0.4,1,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T18:00:00,31,35.5,23,62.5,0,0,,0,0,24.8,14.8,180,1007,27,10,54,0.2,1,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-22T19:00:00,29.9,34,23,66.61,0,0,,0,0,28.4,11.8,148,1008.1,25.4,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T20:00:00,30,35.1,24,70.29,0,0,,0,0,27.4,11.2,150,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T21:00:00,29,32.7,23,70.11,0,0,,0,0,25.6,14.8,150,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-22T22:00:00,28.9,32.7,23.1,70.89,0,0,,0,0,22,14.1,137,1010,48.1,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-22T23:00:00,28,31.9,24,78.92,0,0,,0,0,19.1,13,130,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-23T00:00:00,28,31.9,24,78.92,0,0,,0,0,19.8,7.6,130,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-23T01:00:00,27.9,31.8,24.1,79.67,0,0,,0,0,21.6,9.6,110,1009.1,48.1,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-23T02:00:00,28,32.7,25,83.79,0,0,,0,0,22.3,18.4,130,1008,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-23T03:00:00,27,30.6,25,88.84,0,0,,0,0,22,14.8,140,1008,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-23T04:00:00,27,30.5,25,88.93,0,0,,0,0,19.8,13.7,132,1008.1,45.3,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-23T05:00:00,27,30.6,25,88.84,0,0,,0,0,17.6,13,140,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-04-23T06:00:00,28,32.7,25,83.79,0,0,,0,0,16.9,14.8,130,1009,50,10,4,0,0,3,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T07:00:00,28,31.9,24.1,79.67,0,0,,0,0,16.2,17.1,106,1010,27.3,10.9,139,0.5,1,3,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-23T08:00:00,30,35.1,24,70.29,0,0,,0,0,14,16.6,100,1010,27,10,380,1.4,4,3,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T09:00:00,31,36.5,24,66.38,0,0,,0,0,13,16.6,120,1010,27,10,613,2.2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T10:00:00,32.9,38.1,23.1,56.7,0,0,,0,0,11.5,14,108,1010,29.2,10.9,805,2.9,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-23T11:00:00,34,38.3,22,49.65,0,0,,0,0,10.4,14.8,120,1009,50,10,940,3.4,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T12:00:00,34,38.3,22,49.65,0,0,,0,0,10.4,7.6,90,1009,88.8,10,1004,3.6,10,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T13:00:00,34.8,39.5,22.2,48.22,0,0,,0,0,216,24.1,37,1008,88,10.9,951,3.4,10,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-04-23T14:00:00,34,39.3,23,52.76,0,0,,0,0,9,14.8,170,1006,88.8,10,818,2.9,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-04-23T15:00:00,30,34.1,23,66.18,0.1,100,rain,0,0,7.9,16.6,250,1006,50,10,536,1.9,5,10,"Rain, Partially cloudy",rain,"48900099999,VVTS"
ho chi minh,2022-04-23T16:00:00,31,34.6,22.1,59.25,0,0,,0,0,18,13.1,188,1006,50.9,10.9,127,0.5,1,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
