name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-01-30T00:00:00,26,26,24,88.76,0,0,,0,0,21.2,13,170,1010,50,10,0,,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T01:00:00,25.9,25.9,24,88.9,0,0,,0,0,22.3,8.8,171,1010.1,53.8,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T02:00:00,26,26,23,83.56,0,0,,0,0,19.8,9.4,160,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T03:00:00,26,26,23,83.56,0,0,,0,0,17.6,7.6,180,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T04:00:00,25.9,25.9,23,84.13,0,0,,0,0,17.3,7.6,170,1010,52.8,9.1,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T05:00:00,26,26,23,83.56,0,0,,0,0,18,9.4,170,1010,50,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T06:00:00,26,26,23,83.56,0,0,,0,0,20.5,9.4,170,1010,50,8,0,0.2,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T07:00:00,25.9,25.9,23.9,89.1,0,0,,0,0,16.6,10.5,126,1011.1,89.9,9.1,213.5,0.8,2,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T08:00:00,26,26,23,83.56,0,0,,0,0,13.7,9.4,130,1012,50,8,217,0.8,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T09:00:00,28,31.2,23,74.3,0,0,,0,0,11.9,11.2,150,1013,88.8,10,335,1.2,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T10:00:00,28.9,32.6,23,70.49,0,0,,0,0,10.8,7.5,158,1013,50.9,10.9,436,1.6,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T11:00:00,30,34.1,23,66.18,0,0,,0,0,10.8,7.6,160,1012,88.8,10,523,1.9,5,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T12:00:00,31,34.5,22,58.81,0,0,,0,0,8.6,9.4,210,1011,88.8,10,569,2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T13:00:00,30.9,34.5,22.1,59.5,0,0,,0,0,7.9,12.8,185,1010,88,10.9,750,2.7,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T14:00:00,31,33.7,21,55.32,0,0,,0,0,8.6,5.4,185,1009,88.8,10,778,2.8,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T15:00:00,32,35.8,22,55.56,0,0,,0,0,13.7,16.6,180,1008,50,10,571,2.1,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T16:00:00,29.9,33.2,22,62.79,0,0,,0,0,22.7,14.4,176,1008,25.4,10.9,420,1.5,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T17:00:00,29,32,22,65.97,0,0,,0,0,24.8,16.6,180,1008,27,10,324,1.2,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-30T18:00:00,28,30.6,22,69.92,0,0,,0,0,25.2,13,180,1009,27,10,261,0.9,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T19:00:00,26.9,29.2,22.1,74.68,0,0,,0,0,24.5,16,149,1010,30.1,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T20:00:00,27,29.2,22,74.14,0,0,,0,0,24.5,16.6,130,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T21:00:00,26,26,22,78.64,0,0,,0,0,27.7,14.8,140,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-30T22:00:00,26,26,22.1,79.08,0,0,,0,0,29.5,19.6,131,1011.1,52.8,10.9,0,,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-30T23:00:00,26,26,22,78.64,0,0,,0,0,26.6,24.1,140,1011,50,10,0,,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T00:00:00,26,26,22,78.64,0,0,,0,0,31,20.5,130,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T01:00:00,25,25,22.1,83.97,0,0,,0,0,31,14.7,132,1010.8,56.1,12,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999"
ho chi minh,2022-01-31T02:00:00,25,25,22,83.45,0,0,,0,0,28.1,14.8,140,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T03:00:00,25,25,22,83.45,0,0,,0,0,18.4,9.4,160,1009,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T04:00:00,25,25,22,83.69,0,0,,0,0,11.2,4.3,140,1009.1,50.9,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T05:00:00,25,25,22,83.45,0,0,,0,0,9.4,11.2,130,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T06:00:00,25,25,22,83.45,0,0,,0,0,6.1,13,140,1010,50,10,0,0.2,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T07:00:00,24.9,24.9,22,83.92,0,0,,0,0,12.2,7.9,126,1011,32,10.9,229.4,0.8,2,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T08:00:00,27,29.2,22,74.14,0,0,,0,0,15.1,11.2,120,1011,27,10,223,0.8,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T09:00:00,29,31.3,21,62.06,0,0,,0,0,15.8,18.4,110,1012,27,10,342,1.2,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T10:00:00,29.9,31.3,19.2,52.86,0,0,,0,0,15.5,14.1,122,1012,27.3,10.9,448,1.6,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T11:00:00,31,32.4,19,48.88,0,0,,0,0,11.5,9.4,120,1011,27,10,540,1.9,5,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T12:00:00,33,33.5,17,38.49,0,0,,0,0,9.7,11.2,90,1010,27,10,613,2.2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T13:00:00,33.8,34.1,16.3,35.2,0,0,,0,0,9,14.7,131,1009.1,27.3,10.9,780.3,2.8,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T14:00:00,34,34.5,17,36.39,0,0,,0,0,8.3,7.6,50.8,1008,27,10,850,3.1,9,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T15:00:00,34,35.7,19,41.27,0,0,,0,0,9,16.6,170,1008,50,10,782,2.8,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T16:00:00,31.9,33.5,19.1,46.91,0,0,,0,0,9,18,176,1008,46.2,10.9,685,2.5,7,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T17:00:00,31,32.4,19,48.88,0,0,,0,0,22.7,14.8,170,1008,27,10,550,2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-01-31T18:00:00,30,30.8,18,48.61,0,0,,0,0,32.4,16.6,160,1008,27,10,443,1.6,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T19:00:00,28.8,30.2,19.2,56.02,0,0,,0,0,34.9,15.7,140,1009.1,29.2,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T20:00:00,28,29.2,19,58.11,0,0,,0,0,34.9,22.3,130,1010,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T21:00:00,27,28.8,21,69.73,0,0,,0,0,35.6,16.6,140,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-01-31T22:00:00,26,26,22,78.77,0,0,,0,0,32,17.7,131,1011,49.1,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-01-31T23:00:00,26,26,22,78.64,0,0,,0,0,30.2,16.6,130,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T00:00:00,26,26,22,78.64,0,0,,0,0,28.1,13,140,1011,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T01:00:00,25.9,25.9,21.1,74.95,0,0,,0,0,20.9,14.8,140,1010.9,50.9,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T02:00:00,26,26,22,78.64,0,0,,0,0,9.7,13,130,1010,50,10,0,,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T03:00:00,26,26,22,78.64,0,0,,0,0,13,9.4,140,1010,50,10,0,,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T04:00:00,25,25,22,83.69,0,0,,0,0,14.4,10.8,142,1010,52.8,10.9,0,,0,3,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T05:00:00,25,25,22,83.45,0,0,,0,0,14,14.8,120,1010,50,10,0,,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T06:00:00,25,25,22,83.45,0,0,,0,0,8.3,9.4,100,1011,50,10,0,0.2,0,3,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T07:00:00,25,25,23,88.48,0,0,,0,0,8.6,12.4,90,1011,49.1,10.9,261.3,0.9,3,3,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T08:00:00,27,29.6,23,78.78,0,0,,0,0,12.2,16.6,90,1012,27,10,200,0.7,2,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T09:00:00,28,30.6,22,69.92,0,0,,0,0,14,18.4,100,1012,27,10,328,1.2,3,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T10:00:00,30.9,33,20.2,52.95,0,0,,0,0,16.2,16,108,1012.9,29.2,10.9,439,1.6,4,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T11:00:00,33,35.3,20,46.44,0,0,,0,0,13.3,11.2,90,1012,27,10,533,1.9,5,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T12:00:00,34,35.1,18,38.76,0,0,,0,0,12.2,7.6,110,1011,27,10,607,2.2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T13:00:00,34.8,35,16.3,33.26,0,0,,0,0,13,11.8,140,1010,25.4,10.9,823.3,3,8,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T14:00:00,34,34.5,17,36.39,0,0,,0,0,13.7,13,130,1008,27,10,845,3,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T15:00:00,35,36.2,18,36.66,0,0,,0,0,13,9.4,130,1008,27,10,762,2.7,8,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T16:00:00,33.8,35.6,19.1,41.78,0,0,,0,0,11.2,15.1,172,1007.1,46.2,10.9,661,2.4,7,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T17:00:00,32,32.9,18,43.37,0,0,,0,0,20.5,14.8,160,1008,27,10,562,2,6,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-02-01T18:00:00,31,31.8,18,45.91,0,0,,0,0,36,14.8,160,1008,27,10,461,1.7,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T19:00:00,29.9,30,16.3,43.94,0,0,,0,0,33.8,14.4,150,1009.1,27.3,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T20:00:00,29,29.1,16,45.37,0,0,,0,0,34.2,11.2,150,1010,27,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T21:00:00,28,28.6,17,51.24,0,0,,0,0,31.7,16.6,140,1011,27,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-02-01T22:00:00,26.9,28.2,19.2,62.55,0,0,,0,0,30.6,16.1,140,1011,32,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-02-01T23:00:00,27,28.5,20,65.56,0,0,,0,0,29.9,18.4,140,1010,27,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
