name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-08-23T00:00:00,27,30.6,25,88.84,0,0,,0,0,27.7,14.8,220,1009,88.8,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-08-23T01:00:00,26.9,30.4,25,89.38,3,100,rain,0,0,23.4,8.5,260,1009,88.9,10,0,,0,30,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-08-23T02:00:00,26,26,25,94.23,0,0,,0,0,18.4,5.4,238,1008,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-08-23T03:00:00,26,26,25,94.23,0,0,,0,0,20.5,3.6,350,1007,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-08-23T04:00:00,26,26,25,94.23,0,0,,0,0,16.9,4.3,30,1007.1,53.7,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-08-23T05:00:00,25,25,25,100,0,0,,0,0,13.7,1.8,233,1007,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-08-23T06:00:00,26,26,25,94.23,0,0,,0,0,13.7,1.8,280,1008,88.8,7,2,0,0,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T07:00:00,26.9,30.9,26,94.53,0,0,,0,0,9.7,3.6,254,1008,53.7,9.1,90,0.3,1,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-08-23T08:00:00,29,34.5,25,79.06,0,0,,0,0,9,3.6,260.1,1009,88.8,8,278,1,3,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T09:00:00,30,36.2,25,74.63,0,0,,0,0,12.6,7.6,250,1009,88.8,8,491,1.8,5,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T10:00:00,30.8,37.5,25,71.24,0,0,,0,0,13,11.1,254,1009,88.9,10.9,664,2.4,7,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-08-23T11:00:00,31,35.5,23,62.5,0,0,,0,0,13.3,11.2,260,1008,88.8,10,777,2.8,8,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T12:00:00,32,37.9,24,62.71,0,0,rain,0,0,13,14.8,260,1007,88.8,10,777,2.8,8,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T13:00:00,32.9,39.2,24,59.59,0,0,,0,0,14,12.5,262,1006.1,88,10.9,705,2.5,7,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-08-23T14:00:00,33,40.6,25,62.93,0,0,,0,0,13.7,11.2,290,1005,50,10,550,2,6,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T15:00:00,33,39.2,24,59.27,0,0,,0,0,14.4,14.8,300,1004,88.8,10,205,0.7,2,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-08-23T16:00:00,32.9,39,23.9,59.16,0,0,,0,0,17.6,11.1,270,1004.1,32.9,10.9,106,0.4,1,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
