name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-06-02T00:00:00,28,32.7,25,83.79,0,0,,0,0,14,9.4,210,1007,27,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T01:00:00,27.9,32.4,25,84.48,0,0,,0,0,18.4,8.5,210,1007,27.3,10.9,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T02:00:00,28,32.7,25,83.79,0,0,,0,0,18.4,9.4,210,1007,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T03:00:00,28,33.5,26,88.91,0,0,,0,0,16.2,9.4,210,1007,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T04:00:00,27.8,32.3,25,84.75,0,0,,0,0,15.8,4.9,220,1007,49.1,10.9,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T05:00:00,28,32.7,25,83.79,0,0,,0,0,15.8,7.6,210,1007,50,10,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T06:00:00,28,33.5,26,88.91,0,0,,0,0,15.8,9.4,220,1007,50,10,9,0,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T07:00:00,27.2,31.5,25.9,92.62,0,0,,0,0,16.6,0,201.2,1007.9,90,20,157,0.6,2,30,Partially cloudy,partly-cloudy-day,48894099999
ho chi minh,2022-06-02T08:00:00,29,35.6,26,83.9,0,0,,0,0,16.2,13,240,1008,50,10,383,1.4,4,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T09:00:00,29,35.6,26,83.9,0,0,,0,0,15.1,18.4,250,1009,50,10,598,2.2,6,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T10:00:00,31,40.3,26.8,78.76,0,0,rain,0,0,16.2,12.8,234,1008.1,52.8,9.1,777,2.8,8,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T11:00:00,30,34.1,23,66.18,0,0,,0,0,18,14.8,230,1007,88.8,8,894,3.2,9,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T12:00:00,29,35.6,26,83.9,0,0,,0,0,18.4,20.5,310,1007,50,7,804,2.9,8,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T13:00:00,28.3,33.3,25,82.2,0,0,,0,0,17.6,3.9,270,1006.9,53.7,7.3,261,0.9,3,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T14:00:00,29,35.6,26,83.9,0,0,,0,0,18,9.4,50,1006,50,10,268,1,3,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T15:00:00,28,32.7,25,83.79,0,0,rain,0,0,19.1,16.6,70,1006,50,8,266,1,3,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T16:00:00,24.2,24.2,24,98.66,0,0,,0,0,20.5,14.4,194,1007,89.9,1.8,448,1.6,4,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T17:00:00,24,24,24,100,0,0,rain,0,0,24.8,5.4,216,1007,88.8,7,226,0.8,2,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T18:00:00,25,25,24,94.19,0,0,,0,0,33.1,5.4,209.5,1008,88.8,8,24,0.1,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-02T19:00:00,25,25,24,94.08,14,100,rain,0,0,28.1,2.9,196,1008.1,89.9,7.6,0,,0,10,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T20:00:00,25,25,25,100,0,0,rain,0,0,27.7,5.4,110,1009,88.8,7,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T21:00:00,25,25,25,100,0,0,rain,0,0,12.2,7.6,60,1010,88.8,7,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-02T22:00:00,25,25,24.9,99.55,0,0,,0,0,4.7,3.3,110,1010.1,89.9,7.3,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-02T23:00:00,25,25,25,100,0,0,,0,0,8.3,5.4,193,1010,88.8,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T00:00:00,25,25,25,100,0,0,,0,0,3.6,7.6,80,1009,88.8,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T01:00:00,25,25,24.9,99.61,8,100,rain,0,0,2.5,4.9,85.1,1009,88,7.3,0,,0,10,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T02:00:00,25,25,25,100,0,0,,0,0,4,5.4,210,1008,50,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T03:00:00,25,25,25,100,0,0,,0,0,6.5,0,0,1008,50,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T04:00:00,25,25,24.9,99.83,0,0,,0,0,6.8,2.9,70.1,1008,52.8,8.2,0,,0,10,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T05:00:00,25,25,24,94.19,0,0,,0,0,5.4,3.6,91.9,1008,50,8,0,,0,10,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T06:00:00,25,25,25,100,0,0,,0,0,7.6,3.6,70,1008,50,8,8,0,0,10,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T07:00:00,26,26,25,94.49,0,0,,0,0,7.9,4.3,142.1,1009,53.7,7.3,109,0.4,1,10,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T08:00:00,27,31.2,26,94.27,0,0,,0,0,13,5.4,183.9,1009,50,5,357,1.3,4,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T09:00:00,29,35.6,26,83.9,0,0,,0,0,18,9.4,210,1009,88.8,8,542,2,5,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T10:00:00,29.1,35.6,25.9,83.3,0,0,,0,0,18.7,12.4,230,1009.1,88,10.9,689,2.5,7,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T11:00:00,31,39.1,26,74.79,0,0,rain,0,0,19.1,13,260,1008,88.8,10,866,3.1,9,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T12:00:00,31,37.7,25,70.47,0,0,,0,0,18.7,7.6,240,1008,88.8,10,870,3.1,9,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T13:00:00,32.9,40.4,24.9,63.01,0,0,,0,0,18,9.5,253,1007,52.8,10.9,687,2.5,7,30,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T14:00:00,28,31.2,23,74.3,0,0,,0,0,16.2,16.6,280,1007,50,10,276,1,3,60,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T15:00:00,27,30.1,24,83.68,0,0,rain,0,0,22,22.3,250,1007,50,10,162,0.6,2,60,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T16:00:00,27.8,31.5,24,80.01,0,0,rain,0,0,22,12.8,214,1007.1,54.7,10,350,1.3,4,60,Partially cloudy,partly-cloudy-day,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T17:00:00,28,31.9,24,78.92,0,0,,0,0,23.8,11.2,250,1006,50,10,305,1.1,3,60,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T18:00:00,27,30.1,24,83.68,0,0,,0,0,24.8,11.2,190,1008,50,10,66,0.2,1,30,Partially cloudy,partly-cloudy-day,"48900099999,VVTS"
ho chi minh,2022-06-03T19:00:00,26.9,30.4,25,89.23,4,100,rain,0,0,23.8,6,200,1008.1,89.9,10,0,,0,30,"Rain, Partially cloudy",rain,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T20:00:00,27,30.6,25,88.84,0,0,,0,0,18.4,1.8,198.1,1009,88.8,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T21:00:00,27,30.6,25,88.84,0,0,,0,0,11.2,9.4,200,1009,88.8,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-03T22:00:00,26.9,30.4,25,89.38,0,0,,0,0,13.3,4.9,207.1,1010,53.7,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-03T23:00:00,27,30.6,25,88.84,0,0,,0,0,14.8,1.8,209.6,1010,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-04T00:00:00,26,26,25,94.23,0.1,100,rain,0,0,15.8,3.6,208.9,1010,50,10,0,,0,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
ho chi minh,2022-06-04T01:00:00,26,26,25,94.44,0,0,,0,0,15.1,2.9,260,1010,52.8,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
ho chi minh,2022-06-04T02:00:00,26,26,25,94.23,0,0,,0,0,14.4,1.8,270,1009,50,10,0,,0,30,Partially cloudy,partly-cloudy-night,"48900099999,VVTS"
ho chi minh,2022-06-04T03:00:00,26,26,25,94.23,0.3,100,rain,0,0,16.9,1.8,191.8,1009,50,10,0,,0,30,"Rain, Partially cloudy",rain,"48900099999,VVTS"
ho chi minh,2022-06-04T04:00:00,25.9,25.9,25,94.49,0,0,,0,0,20.5,3.3,200,1009.1,50,8.2,0,,0,30,Partially cloudy,partly-cloudy-night,"48894099999,48900099999,VVTS"
